subject_id,thing_id,step_function,cloud_watch_rule,cron_expression,schedule,status,input,description
77107,DSS2-77107-353626070754671,Create_Daily_BasalCrCf_Profile,DSS2_77107_Profile_Parameter_Schedule,30 14 ? Jan-June TUE 2021,Every Tuesday 14:30 GMT,ENABLED,"{""thing_id"":""DSS2-77107-353626070754671"", ""subject_id"": ""77107"", ""request_length"": 41430, ""request_interval"": 5 }",thing_id:DSS2-77107-353626070754671 ; Schedule: Every TUESDAY 14:30 GMT - 9:30 EST - 10:30 EDT ; Dynamo DB data-type 'profile' 
77108,DSS2-77108-353626070749895,Calculate_Engagement_Metric,DSS2_77108_Engagement_Metric_Schedule,44 5 * * ? *,Every day 5:44 GMT,ENABLED,"{""thing_id"":""DSS2-77108-353626070749895"", ""subject_id"":""77108""}",thing_id:DSS2-77108-353626070749895 ; Schedule: 05:44 GMT -  00:44 EST - 01:44 EDT ; Dynamo DB data-type 'engagement_metric'
77108,DSS2-77108-353626070749895,PredictAdvisoryParams,DSS2_77108_Advisory_Parameter_Schedule,15 8 * * ? *,Every day 8:15 GMT,ENABLED,"{""thing_id"":""DSS2-77108-353626070749895"", ""subject_id"":""77108""}",thing_id:DSS2-77108-353626070749895 ; Schedule: 08:15 GMT - 03:15 EST - 04:15 EDT  ; Dynamo DB data-type 'advisory'
77108,DSS2-77108-353626070749895,Create_Daily_Basal_Profile,DSS2_77108_Daily_Basal_Schedule,30 18 * * ? *,Every day 18:30 GMT,ENABLED,"{""thing_id"":""DSS2-77108-353626070749895"", ""subject_id"": ""77108"", ""request_length"": 2790, ""request_interval"": 5 }",thing_id:DSS2-77108-353626070749895 ; Schedule: 18:30 GMT - 13:30 EST - 14:30 EDT ; Dynamo DB data-type 'dailyoptbasal'
77108,DSS2-77108-353626070749895,Create_Daily_SI_Params,DSS2_77108_Daily_SIParams_Schedule,50 18 * * ? *,Every day 18:50 GMT,ENABLED,"{""thing_id"":""DSS2-77108-353626070749895"", ""subject_id"": ""77108"", ""request_length"": 2810, ""request_interval"": 5 }",thing_id:DSS2-77108-353626070749895 ; Schedule: 18:50 GMT - 13:50 EST - 14:50 EDT ; Dynamo DB data-type 'dailysiparams'
77108,DSS2-77108-353626070749895,Create_Daily_BasalCrCf_Profile,DSS2_77108_Profile_Parameter_Schedule,0 14 ? Jan-June MON 2021,Every Monday 14:00 GMT,ENABLED,"{""thing_id"":""DSS2-77108-353626070749895"", ""subject_id"": ""77108"", ""request_length"": 41400, ""request_interval"": 5 }",thing_id:DSS2-77108-353626070749895 ; Schedule: Every MONDAY 14:00 GMT - 09:00 EST - 10:00 EDT ; Dynamo DB data-type 'profile'
77109,DSS2-77109-353627079602689,Calculate_Engagement_Metric,DSS2_77109_Engagement_Metric_Schedule,46 5 * * ? *,Every day 5:46 GMT,ENABLED,"{""thing_id"":""DSS2-77109-353627079602689"", ""subject_id"":""77109""}",thing_id:DSS2-77109-353627079602689 ; Schedule: 05:46 GMT -  00:46 EST - 01:46 EDT ; Dynamo DB data-type 'engagement_metric'
77109,DSS2-77109-353627079602689,PredictAdvisoryParams,DSS2_77109_Advisory_Parameter_Schedule,30 8 * * ? *,Every day 8:30 GMT,ENABLED,"{""thing_id"":""DSS2-77109-353627079602689"", ""subject_id"":""77109""}",thing_id:DSS2-77109-353627079602689 ; Schedule: 08:30 GMT - 03:30 EST - 04:30 EDT  ; Dynamo DB data-type 'advisory'
77109,DSS2-77109-353627079602689,Create_Daily_Basal_Profile,DSS2_77109_Daily_Basal_Schedule,00 19 * * ? *,Every day 19:00 GMT,ENABLED,"{""thing_id"":""DSS2-77109-353627079602689"", ""subject_id"": ""77109"", ""request_length"": 2820, ""request_interval"": 5 }",thing_id:DSS2-77109-353627079602689 ; Schedule: 19:00 GMT - 14:00 EST - 15:00 EDT ; Dynamo DB data-type 'dailyoptbasal'
77109,DSS2-77109-353627079602689,Create_Daily_SI_Params,DSS2_77109_Daily_SIParams_Schedule,20 19 * * ? *,Every day 19:20 GMT,ENABLED,"{""thing_id"":""DSS2-77109-353627079602689"", ""subject_id"": ""77109"", ""request_length"": 2840, ""request_interval"": 5 }",thing_id:DSS2-77109-353627079602689 ; Schedule: 19:20 GMT - 14:20 EST - 15:20 EDT ; Dynamo DB data-type 'dailysiparams'
