Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,Fish,Savory Garlic Shrimp Scampi,320,10.0,29.0,4.0,16.0,40.0,261.0,317.0,0.8233438485804416,0.050473186119873815,0.12618296529968454,https://www.calorieking.com/us/en/foods/f/calories-in-fish-savory-garlic-shrimp-scampi/M9s9KrTSQle020NUC_HqeQ
Kroger,Canned Meals,Pink Salmon,76,10.1,4.2,0.0,0.0,40.4,37.800000000000004,78.2,0.48337595907928393,0.0,0.5166240409207161,https://www.calorieking.com/us/en/foods/f/calories-in-canned-meals-pink-salmon/8FWHMtpBR1C95Jluz4hGPQ
Kroger,Jams,"Jelly, Strawberry",50,0.0,0.0,13.0,52.0,0.0,0.0,52.0,0.0,1.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-jams-jelly-strawberry/C8fzK6GTR1ipiBw3tjlEMQ
Kroger,Salad Dressings,Home Style Seasoned Herb Croutons,25,0.0,1.0,4.0,16.0,0.0,9.0,25.0,0.36,0.64,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-home-style-seasoned-herb-croutons/VVKwPJKUScmYzxnTgXfQVw
Kroger,Deli & Luncheon Meat,"Lower Sodium Bacon, Hardwood Smoked",80,5.0,7.0,0.0,0.0,20.0,63.0,83.0,0.7590361445783133,0.0,0.24096385542168675,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-lower-sodium-bacon-hardwood-smoked/_IAFjhDFQDCOKdppDgkLvg
Kroger,Energy/Nutritional Drinks,Fortify Plus Vanilla Nutrition Shake,350,13.0,11.0,50.0,200.0,52.0,99.0,351.0,0.28205128205128205,0.5698005698005698,0.14814814814814814,https://www.calorieking.com/us/en/foods/f/calories-in-energynutritional-drinks-fortify-plus-vanilla-nutrition-shake/OY5_WWAuSiqCxpBltk48HA
Kroger,Deli & Luncheon Meat,Deli Thin Sliced Cooked Ham,60,10.0,1.5,1.0,4.0,40.0,13.5,57.5,0.23478260869565218,0.06956521739130435,0.6956521739130435,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-deli-thin-sliced-cooked-ham/N2detESBR-eb6NV8eAGIJQ
Kroger,Jams,"Preserves, Red Raspberry",40,0.0,0.0,10.0,40.0,0.0,0.0,40.0,0.0,1.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-jams-preserves-red-raspberry/OWKxiZ6eRuSLq7-0p10Ycg
Kroger,Salad Dressings,Yellow Mustard,2,0.0,0.0,0.5,2.0,0.0,0.0,2.0,0.0,1.0,0.0,https://www.calorieking.com/us/en/foods/f/calories-in-salad-dressings-yellow-mustard/_iO-yl5uTpyjFwE1vmEC3w
Kroger,"Breakfast Cereals, Ready To Eat","Raisin Bran, Crunchy Wheat Flakes Cereal w/ Raisins",190,5.0,1.0,46.0,184.0,20.0,9.0,213.0,0.04225352112676056,0.863849765258216,0.09389671361502347,https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-ready-to-eat-raisin-bran-crunchy-wheat-flakes-cereal-w-raisins/Py0QLt1qQAa7wIScbl7F3Q
Kroger,Frozen Yogurt,"Deluxe Frozen Yogurt, Chocolate",200,6.0,3.0,40.0,160.0,24.0,27.0,211.0,0.12796208530805686,0.7582938388625592,0.11374407582938388,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-yogurt-deluxe-frozen-yogurt-chocolate/sk0A55NaSoWpfJz6SP4M4g
